datetime_kst,n_sites_high_err,n_sites_total,max_z,mean_residual
2025-02-05 09:00:00,2,8,2.364474,-0.0094292285
2025-07-21 13:00:00,2,8,2.5117693,0.094205044
2025-06-12 10:00:00,2,8,2.2233472,-0.041875392
2025-08-15 14:00:00,2,8,5.068159,-0.009069506
2025-08-15 17:00:00,2,8,3.4298549,-0.0062020794
2025-12-28 13:00:00,2,8,7.667951,-0.040462468
2025-08-16 13:00:00,2,8,5.9705997,-0.08551201
2025-08-16 14:00:00,2,8,5.566085,-0.088373154
2025-08-16 15:00:00,2,8,5.093089,-0.05227867
2025-08-16 16:00:00,2,8,4.843266,-0.060566958
2025-08-16 17:00:00,2,8,4.7560377,-0.03572371
2025-08-16 18:00:00,2,8,3.4868257,-0.019767176
2025-08-17 12:00:00,2,8,5.148852,-0.07498994
2025-08-17 13:00:00,2,8,4.4001164,-0.076734684
2025-08-17 14:00:00,2,8,5.4184093,-0.10521914
2025-08-17 15:00:00,2,8,4.139719,-0.087715
2025-08-17 17:00:00,2,8,4.360563,-0.03194213
2025-08-17 18:00:00,2,8,3.2391663,-0.02821162
2025-08-18 10:00:00,2,8,3.24873,-0.05816084
2025-08-18 12:00:00,2,8,5.477074,-0.08740186
2025-08-18 13:00:00,2,8,4.0841007,-0.09423876
2025-08-18 14:00:00,2,8,3.0441983,-0.11455865
2025-08-18 15:00:00,2,8,3.3995893,-0.06708866
2025-08-18 17:00:00,2,8,3.6179364,-0.043854557
2025-08-18 18:00:00,2,8,2.4711716,-0.026157036
2025-07-14 14:00:00,2,8,2.7736042,-0.03863363
2025-08-19 10:00:00,2,8,4.2638135,-0.064303756
2025-08-19 12:00:00,2,8,4.7590113,-0.057755016
2025-08-19 13:00:00,2,8,4.1516175,-0.06975587
2025-08-19 14:00:00,2,8,2.8427227,-0.065166116
2025-08-19 15:00:00,2,8,3.489133,-0.07453053
2025-08-19 16:00:00,2,8,3.5382652,-0.066110685
2025-08-19 17:00:00,2,8,3.713757,-0.041894086
2025-08-19 18:00:00,2,8,2.9769812,-0.026592286
2025-08-20 08:00:00,2,8,3.003187,-0.023609046
2025-07-29 09:00:00,2,8,2.646664,0.007449392
2025-08-20 12:00:00,2,8,3.4030766,-0.10082154
2025-08-20 13:00:00,2,8,2.6489296,-0.07937656
2025-08-20 14:00:00,2,8,3.650262,-0.116262116
2025-08-10 14:00:00,2,8,2.240322,0.0013318621
2025-05-10 08:00:00,2,8,3.4321191,0.0125115365
2025-08-20 17:00:00,2,8,3.48356,-0.0420335
2025-08-20 18:00:00,2,8,3.0737388,-0.031442292
2025-08-21 10:00:00,2,8,5.804402,-0.050331455
2025-08-21 11:00:00,2,8,7.9937696,-0.041850615
2025-08-21 12:00:00,2,8,7.0867505,-0.05787615
2025-08-21 13:00:00,2,8,6.1835217,-0.09063043
2025-08-21 14:00:00,2,8,6.2729974,-0.12226937
2025-08-21 15:00:00,2,8,5.229931,-0.0928811
2025-08-21 16:00:00,2,8,4.0904593,-0.05474781
2025-08-21 17:00:00,2,8,3.9812527,-0.045511514
2025-08-21 18:00:00,2,8,3.3015192,-0.035704717
2025-08-21 19:00:00,2,8,2.147429,-0.033634335
2025-08-22 08:00:00,2,8,2.8966105,-0.024692426
2025-08-22 09:00:00,2,8,4.0171757,-0.04966262
2025-08-22 12:00:00,2,8,6.1241784,-0.033263654
2025-08-22 14:00:00,2,8,4.9910836,0.043724157
2025-08-23 08:00:00,2,8,2.853049,-0.00318112
2025-08-24 08:00:00,2,8,2.4256072,-0.005871372
2025-08-25 08:00:00,2,8,2.9052324,-0.011620217
2025-08-25 10:00:00,2,8,4.137082,-0.025591522
2025-08-27 08:00:00,2,8,4.1964335,0.0049761254
2025-08-27 18:00:00,2,8,3.810647,0.004735682
2025-08-28 12:00:00,2,8,3.0787542,0.03404372
2025-08-28 13:00:00,2,8,4.09296,0.01998081
2025-08-28 17:00:00,2,8,3.7670302,-0.0029159263
2025-08-30 08:00:00,2,8,2.9284446,-0.002995926
2025-02-18 09:00:00,2,8,2.4325225,0.0110921
2025-08-31 16:00:00,2,8,2.6233487,0.01881281
2025-08-31 18:00:00,2,8,2.798601,0.002091181
2025-09-01 08:00:00,2,8,2.2241433,0.008963726
2025-09-02 12:00:00,2,8,2.526342,0.047232043
2025-09-03 15:00:00,2,8,2.3123415,-0.010546766
2025-09-05 13:00:00,2,8,2.5842423,0.061462253
2025-09-06 09:00:00,2,8,2.715863,0.022417696
2025-09-06 13:00:00,2,8,2.178183,0.079963736
2025-09-06 17:00:00,2,8,4.4159436,0.023551088
2025-09-06 18:00:00,2,8,2.2709856,-0.0037723682
2025-09-13 14:00:00,2,8,2.1730175,-0.01970086
2025-09-14 10:00:00,2,8,2.3377433,0.0011013523
2025-09-15 09:00:00,2,8,2.1240144,0.016475298
2025-09-16 16:00:00,2,8,2.4788775,0.06084711
2025-09-18 12:00:00,2,8,2.2637632,-0.05548257
2025-09-18 14:00:00,2,8,2.3691359,0.037304282
2025-09-18 15:00:00,2,8,2.3880165,0.027526304
2025-09-18 16:00:00,2,8,2.334961,0.006420063
2025-09-18 17:00:00,2,8,2.507518,-0.04954869
2025-09-21 17:00:00,2,8,2.6627374,0.012743019
2025-09-24 11:00:00,2,8,2.0855594,-0.023815306
2025-07-26 08:00:00,2,8,3.1711905,-0.011133219
2025-09-24 13:00:00,2,8,2.1994593,-0.009389844
2025-09-24 15:00:00,2,8,2.6386273,-0.025453262
2025-12-28 14:00:00,2,8,7.6473856,-0.040793747
