datetime_kst,actual_kwh,pred_kwh,sigma_kwh2,cap_kw,n_sites,sigma_kwh,residual_kwh,abs_err_kwh,nmae_pct
2025-03-12 18:00:00,9111.936593253165,5965.938780114055,3197055.3907098644,77281,8,1788.031149256037,3145.997813139111,3145.997813139111,4.070855466594779
2025-03-13 08:00:00,992.3949714479968,1025.6387946084142,1378421.212561292,77281,8,1174.0618435846095,-33.24382316041738,33.24382316041738,0.043016812878220234
2025-03-13 09:00:00,9343.789011895657,9709.12792250514,5983033.243013688,77281,8,2446.0239661568503,-365.3389106094837,365.3389106094837,0.47274092029021847
2025-03-13 10:00:00,18638.258134245872,17805.125696823,16385629.361596514,77281,8,4047.916669299964,833.1324374228716,833.1324374228716,1.0780559742017721
2025-03-13 11:00:00,29968.122667461634,28026.226053789258,17585413.803337026,77281,8,4193.496608241984,1941.8966136723757,1941.8966136723757,2.5127736619251504
2025-03-13 12:00:00,36099.11236691475,39164.7126031816,18835443.832693778,77281,8,4339.982008337566,-3065.6002362668514,3065.6002362668514,3.966822681211231
2025-03-13 13:00:00,41996.937881052494,43127.960475474596,18114955.218938224,77281,8,4256.166728282414,-1131.022594422102,1131.022594422102,1.463519615975598
2025-03-13 14:00:00,57096.11329352856,54981.94895255566,9485083.877230017,77281,8,3079.7863362951034,2114.1643409729004,2114.1643409729004,2.73568450327105
2025-03-13 15:00:00,51852.81215965748,51774.999634981155,6157000.781132977,77281,8,2481.330445775608,77.81252467632294,77.81252467632294,0.10068778183036314
2025-03-13 16:00:00,44877.24574482441,41377.12491056323,5710343.093756062,77281,8,2389.632418125445,3500.120834261179,3500.120834261179,4.529083260130147
2025-03-13 17:00:00,30115.481539607048,28050.275842100382,2766884.404863943,77281,8,1663.3954445242246,2065.205697506666,2065.205697506666,2.6723330411183426
2025-03-13 18:00:00,13657.41698512435,10173.82063858211,1564093.488273388,77281,8,1250.6372328830564,3483.596346542239,3483.596346542239,4.507700918132839
2025-03-14 08:00:00,4336.097891159356,4157.830962043256,1491202.3554109307,77281,8,1221.147966223148,178.26692911610007,178.26692911610007,0.2306736832029866
2025-03-14 09:00:00,22669.18060283363,18999.541283652186,4043032.573382566,77281,8,2010.7293635351741,3669.6393191814423,3669.6393191814423,4.748436639253429
2025-03-14 10:00:00,39821.82517556846,36632.30181902647,4740497.633733406,77281,8,2177.2683880802124,3189.5233565419912,3189.5233565419912,4.127176610734839
2025-03-14 11:00:00,52480.32870063186,50484.03872004151,4440162.504733536,77281,8,2107.1693108845184,1996.2899805903435,1996.2899805903435,2.583157542721165
2025-03-14 12:00:00,59439.449921905994,58013.02896055579,7782090.2959487075,77281,8,2789.6398147339214,1426.4209613502026,1426.4209613502026,1.8457589334379763
2025-03-14 13:00:00,25392.562269628048,58865.6029150188,10450338.373604817,77281,8,3232.698311566487,-33473.04064539075,33473.04064539075,43.3134155166092
2025-03-14 14:00:00,18200.300964683294,59328.414876520634,9675785.149250783,77281,8,3110.5924113021915,-41128.11391183734,41128.11391183734,53.218920448541475
2025-03-14 15:00:00,54036.794722378254,52767.10777270794,6762750.496912654,77281,8,2600.528887921196,1269.6869496703148,1269.6869496703148,1.642948395686281
2025-03-14 16:00:00,36705.62951365113,33193.650437653065,13927766.277662273,77281,8,3731.992266559816,3511.979075998068,3511.979075998068,4.544427577280403
2025-03-14 17:00:00,19560.931858167052,18516.949069574475,10433172.98886455,77281,8,3230.0422580617346,1043.982788592577,1043.982788592577,1.3508919250431244
